title,genre,premiere,runtime,imdb_score,language,year
A Christmas Prince: The Royal Baby,Romantic comedy,12/5/2019,85,5.4,English,2019
Despite Everything,Comedy,5/3/2019,78,5.4,Spanish,2019
Dolly Kitty and Those Twinkling Stars,Drama,9/18/2020,120,5.4,Hindi,2020
Freaks: You're One of Us,Supernatural drama,9/2/2020,92,5.4,German,2020
"Game Over, Man!",Action/Comedy,3/23/2018,101,5.4,English,2018
Guilty,Thriller,3/6/2020,119,5.4,Hindi,2020
In the Tall Grass,Horror,10/4/2019,101,5.4,English,2019
Madame Claude,Drama,4/2/2021,112,5.4,French,2021
Naked,Comedy,8/11/2017,96,5.4,English,2017
Outside the Wire,Action/Science fiction,1/15/2021,114,5.4,English,2021
The Princess Switch: Switched Again,Romantic comedy,11/19/2020,97,5.4,English,2020
Under the Riccione Sun,Romantic teenage drama,7/1/2020,101,5.4,Italian,2020
A Very Murray Christmas,Comedy / Musical,12/4/2015,56,5.5,English,2015
Been So Long,Musical,10/26/2018,100,5.5,English,2018
Dead Kids,Thriller,12/1/2019,94,5.5,Filipino,2019
Get the Grift,Comedy,4/28/2021,94,5.5,Portuguese,2021
Ghosts of Sugar Land,Documentary,10/16/2019,21,5.5,English,2019
House Arrest,Comedy,11/15/2019,104,5.5,Hindi,2019
Kevin Hart's Guide to Black History,Variety show,2/8/2019,63,5.5,English,2019
Love Wedding Repeat,Romantic comedy,4/10/2020,100,5.5,English,2020
Mute,Science fiction/Mystery,2/23/2018,126,5.5,English,2018
Ã’lÃ²t?rÃ©,Crime drama,10/2/2020,106,5.5,English,2020
Red Dot,Thriller,2/11/2021,86,5.5,Swedish,2021
Ride or Die,Psychological thriller drama,4/15/2021,142,5.5,Japanese,2021
Step Sisters,Comedy,1/19/2018,108,5.5,English,2018
The Cloverfield Paradox,Science fiction,2/4/2018,102,5.5,English,2018
The Knight Before Christmas,Romantic comedy,11/21/2019,92,5.5,English,2019
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,7/6/2018,83,5.5,English,2018
The Package,Black comedy,8/10/2018,94,5.5,English,2018
Unicorn Store,Comedy,4/5/2019,92,5.5,English,2019
Wine Country,Comedy,5/10/2019,103,5.5,English,2019
Bomb Scared,Black comedy,10/12/2017,89,5.6,Spanish/Basque,2017
Brahman Naman,Comedy,7/7/2016,95,5.6,English,2016
Double Dad,Comedy-drama,1/15/2021,103,5.6,Portuguese,2021
Falling Inn Love,Romantic comedy,8/29/2019,97,5.6,English,2019
Hold the Dark,Thriller,9/28/2018,125,5.6,English,2018
"Love, Guaranteed",Romantic comedy,9/3/2020,91,5.6,English,2020
One-Way to Tomorrow,Romance,6/19/2020,90,5.6,Turkish,2020
Sarah Cooper: Everything's Fine,Variety show,10/27/2020,49,5.6,English,2020
The Last Laugh,Comedy-drama,1/11/2019,98,5.6,English,2019
The Last Paradiso,Romantic drama,2/5/2021,107,5.6,Italian,2021
The Midnight Sky,Science fiction,12/23/2020,118,5.6,English,2020
The Paramedic,Thriller,9/16/2020,94,5.6,Spanish,2020
The Sleepover,Comedy,8/21/2020,103,5.6,English,2020
Vampires vs. the Bronx,Horror comedy,10/2/2020,86,5.6,English,2020
Why Did You Kill Me?,Documentary,4/14/2021,83,5.6,English,2021
A Week Away,Christian musical,3/26/2021,97,5.7,English,2021
Caught by a Wave,Romantic teen drama,3/25/2021,99,5.7,Italian,2021
Christmas Inheritance,Romantic drama,12/15/2017,104,5.7,English,2017
Dad Wanted,Family,9/11/2020,102,5.7,Spanish,2020
El Camino Christmas,Dark comedy,12/8/2017,89,5.7,English,2017
Eli,Horror,10/18/2019,98,5.7,English,2019
Ginny Weds Sunny,Romantic comedy,10/9/2020,125,5.7,Hindi,2020
Good Sam,Drama,5/16/2019,89,5.7,English,2019
Lionheart,Comedy,1/4/2019,94,5.7,English,2019
Little Evil,Comedy horror,9/1/2017,94,5.7,English,2017
One Take,Documentary,6/18/2020,85,5.7,Thai,2020
"Out of Many, One",Documentary,12/12/2018,34,5.7,English,2018
Point Blank,Action,7/12/2019,86,5.7,English,2019
Prime Time,Thriller,4/14/2021,91,5.7,Polish,2021
The Do-Over,Action comedy,5/27/2016,108,5.7,English,2016
The Holiday Calendar,Romantic comedy,11/2/2018,95,5.7,English,2018
The Woman in the Window,Psychological thriller,5/14/2021,100,5.7,English,2021
The Wrong Missy,Comedy,5/13/2020,90,5.7,English,2020
Velvet Buzzsaw,Thriller,2/1/2019,112,5.7,English,2019
Yes Day,Comedy,3/12/2021,86,5.7,English,2021
15-Aug,Comedy-drama,3/29/2019,124,5.8,Marathi,2019
A California Christmas,Romantic comedy,12/14/2020,107,5.8,English,2020
A Christmas Prince,Romantic comedy,11/17/2017,92,5.8,English,2017
All Day and a Night,Drama,5/1/2020,121,5.8,English,2020
American Son,Drama,11/1/2019,90,5.8,English,2019
Barry,Biopic,12/16/2016,104,5.8,English,2016
Candy Jar,Comedy,4/27/2018,92,5.8,English,2018
Choked: Paisa Bolta Hai,Drama,6/5/2020,114,5.8,Hindi,2020
Class of '83,Drama,8/21/2020,98,5.8,Hindi,2020
Extinction,Science fiction/Thriller,7/27/2018,95,5.8,English,2018
Happy Anniversary,Romantic comedy,3/30/2018,78,5.8,English,2018
I Am All Girls,Thriller,5/14/2021,107,5.8,English,2021
Let It Snow,Romantic comedy,11/8/2019,92,5.8,English,2019
Mascots,Mockumentary,10/13/2016,95,5.8,English,2016
Operation Christmas Drop,Romantic comedy,11/5/2020,96,5.8,English,2020
Rajma Chawal,Comedy-drama,11/30/2018,118,5.8,Hindi,2018
Rich in Love,Romantic comedy,4/30/2020,105,5.8,Portuguese,2020
Rising High,Satire,4/17/2020,94,5.8,German,2020
Rodney King,One-man show,4/28/2017,52,5.8,English,2017
Sierra Burgess Is a Loser,Romantic comedy-drama,9/7/2018,105,5.8,English,2018
Small Crimes,Dark comedy,4/28/2017,95,5.8,English,2017
Special Correspondents,Satire,4/29/2016,100,5.8,English,2016
TAU,Science fiction/Thriller,6/29/2018,97,5.8,English,2018
The After Party,Comedy,8/24/2018,89,5.8,English,2018
The Babysitter: Killer Queen,Comedy/Horror,9/10/2020,102,5.8,English,2020
The Claus Family,Fantasy,12/7/2020,96,5.8,Dutch,2020
The Kissing Booth 2,Romantic comedy,7/24/2020,131,5.8,English,2020
The Perfect Date,Romantic comedy,4/12/2019,89,5.8,English,2019
What We Wanted,Drama,11/11/2020,93,5.8,German,2020
You've Got This,Romantic comedy,10/2/2020,111,5.8,Spanish,2020
6 Balloons,Drama,4/6/2018,75,5.9,English,2018
A Fall from Grace,Thriller,1/17/2020,120,5.9,English,2020
Amateur,Sports-drama,4/6/2018,96,5.9,English,2018
Army of the Dead,Zombie/Heist,5/21/2021,148,5.9,English,2021
Cam,Psychological horror,11/16/2018,94,5.9,English,2018
Earthquake Bird,Mystery,11/15/2019,107,5.9,English,2019
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,7/16/2019,32,5.9,English,2019
Horse Girl,Drama,2/7/2020,104,5.9,English,2020
Notes from Dunblane: Lesson from a School Shooting,Documentary,9/28/2018,23,5.9,English,2018
